rank,surface,count,share,cum_share,tags
1,는,617076,0.09941282770173446,0.09941282770173446,ETM:344989|JX:272087
2,을,566778,0.09130966632818915,0.1907224940299236,JKO:528255|ETM:38519|ETN:2|JX:2
3,의,453943,0.07313160331208546,0.26385409734200904,JKG:453802|JKB:111|EC:30
4,에,410442,0.06612345939163942,0.3299775567336485,JKB:410396|JKG:26|EC:19|EF:1
5,이,340644,0.0548787884792629,0.3848563452129114,JKS:330835|JKC:9787|EC:12|ETN:8|EP:2
6,를,335059,0.053979027926730976,0.4388353731396424,JKO:334979|JX:69|EC+JKO:9|EF:2
7,은,324916,0.05234495965737891,0.4911803327970213,JX:227363|ETM:97553
8,다,284072,0.0457648665494803,0.5369451993465015,EF:253857|EC:29672|JX:543
9,고,272051,0.0438282467460808,0.5807734460925824,EC:264799|JKQ:7247|JC:5
10,가,226075,0.03642137276878313,0.6171948188613655,JKS:221040|JKC:4761|JX:264|EC:5|EF:5
11,으로,170554,0.027476770147990874,0.6446715890093564,JKB:170539|ETN+JKB:11|EC:4
12,에서,159950,0.02576843337107978,0.6704400223804362,JKB:159949|JKC:1
13,로,134543,0.021675288096562592,0.6921153104769987,JKB:134506|EC:34|EF:3
14,습니다,127412,0.02052646222367,0.7126417727006688,EF:126966|EC:446
15,도,124640,0.020079884559996146,0.7327216572606648,JX:124136|EC:504
16,과,118583,0.019104083366319184,0.751825740626984,JC:90509|JKB:28059|ETN+JKB:15
17,기,99782,0.016075184861726054,0.7679009254887101,ETN:99782
18,게,90776,0.014624290763945846,0.782525216252656,EC:90676|JKB:98|EF:2
19,와,83580,0.013464993192590483,0.7959902094452465,JC:63187|JKB:20378|EC:15
20,지,73766,0.01188392782776537,0.8078741372730118,EC:71885|EF:1881
21,었,68357,0.011012521412609569,0.8188866586856214,EP:68357
22,어,68013,0.01095710196228352,0.8298437606479049,EC:64900|EF:3106|EP:7
23,면,56680,0.009131321059536117,0.8389750817074411,EC:56677|JX:3
24,며,47005,0.007572649019116005,0.8465477307265571,EC:46992|JC:13
