cond,k,variant,vocab,eval_set,fertility,m2a,m2b,m3,n_words,n_tokens,split_rate,m3_nonascii
P0,0,-,32000,hplt_heldout_100k,1.8207,0.1728,0.1877,0.10618,1151963,2097407,0.0,0.00522
P1,0,-,32000,hplt_heldout_100k,2.2378,0.9969,1.0,0.08701,1151963,2577877,0.68867,0.00264
P2,10,G,32000,hplt_heldout_100k,2.0136,0.7484,0.7534,0.09469,1151963,2319563,0.32356,0.00418
P2,30,G,32000,hplt_heldout_100k,2.0828,0.9401,0.9431,0.09082,1151963,2399337,0.44778,0.00377
P2,100,G,32000,hplt_heldout_100k,2.109,0.9944,0.9945,0.08947,1151963,2429486,0.48916,0.00364
P2,10,R,32000,hplt_heldout_100k,2.0074,0.7529,0.7419,0.09494,1151963,2312418,0.27935,0.00425
P2,30,R,32000,hplt_heldout_100k,2.0951,0.9324,0.9168,0.09026,1151963,2413489,0.41037,0.00378
P2,100,R,32000,hplt_heldout_100k,2.1513,0.9762,0.9595,0.08764,1151963,2478267,0.47667,0.00358
P0,0,-,64000,hplt_heldout_100k,1.6786,0.1076,0.1237,0.10768,1151963,1933742,0.0,0.00298
P1,0,-,64000,hplt_heldout_100k,2.1755,0.9967,1.0,0.08487,1151963,2506139,0.68867,0.00123
P2,10,G,64000,hplt_heldout_100k,1.8996,0.7174,0.7237,0.09426,1151963,2188292,0.32356,0.00229
P2,30,G,64000,hplt_heldout_100k,1.9819,0.9317,0.9356,0.08965,1151963,2283083,0.44778,0.00196
P2,100,G,64000,hplt_heldout_100k,2.0121,0.9924,0.9927,0.08811,1151963,2317846,0.48916,0.00188
P2,10,R,64000,hplt_heldout_100k,1.8895,0.7191,0.7036,0.09464,1151963,2176615,0.27935,0.00231
P2,30,R,64000,hplt_heldout_100k,1.9897,0.9208,0.8983,0.0894,1151963,2292044,0.41037,0.00203
P2,100,R,64000,hplt_heldout_100k,2.0515,0.9708,0.9463,0.08647,1151963,2363223,0.47667,0.00188
P0,0,-,128000,hplt_heldout_100k,1.5718,0.0653,0.0812,0.1101,1151963,1810685,0.0,0.0017
P1,0,-,128000,hplt_heldout_100k,2.1404,0.9965,1.0,0.08395,1151963,2465670,0.68867,0.00055
P2,10,G,128000,hplt_heldout_100k,1.8161,0.6943,0.7018,0.09481,1151963,2092114,0.32356,0.00126
P2,30,G,128000,hplt_heldout_100k,1.911,0.9243,0.9288,0.08967,1151963,2201433,0.44778,0.00104
P2,100,G,128000,hplt_heldout_100k,1.9457,0.9904,0.9909,0.08797,1151963,2241326,0.48916,0.00098
P2,10,R,128000,hplt_heldout_100k,1.8027,0.6931,0.6735,0.09545,1151963,2076632,0.27935,0.00129
P2,30,R,128000,hplt_heldout_100k,1.9143,0.911,0.8817,0.08956,1151963,2205241,0.41037,0.0011
P2,100,R,128000,hplt_heldout_100k,1.9808,0.9661,0.9343,0.0863,1151963,2281807,0.47667,0.001
