seed,cond,metric,slope_per_doubling,intercept,r2,res_16K,res_32K,res_64K,res_128K,res_256K
20260907,P1,rel_delta,0.06455,-0.73546,0.9998,0.00027,-0.00156,0.00081,0.00199,-0.00151
20260908,P1,rel_delta,0.06433,-0.73208,0.9998,0.00049,-0.00192,0.00113,0.00155,-0.00125
20260909,P1,rel_delta,0.06442,-0.73346,0.9998,0.00025,-0.00171,0.00117,0.00179,-0.0015
mean,P1,rel_delta,0.06443,-0.73367,0.9998,0.00034,-0.00173,0.00104,0.00178,-0.00142
20260907,P1,phi,0.06811,-1.64163,0.9971,-0.00572,0.00201,0.00656,0.00372,-0.00657
20260908,P1,phi,0.0679,-1.63834,0.9972,-0.00541,0.00154,0.00694,0.00314,-0.00621
20260909,P1,phi,0.06798,-1.63963,0.9969,-0.00581,0.00188,0.0071,0.00341,-0.00657
mean,P1,phi,0.068,-1.63987,0.9971,-0.00565,0.00181,0.00687,0.00342,-0.00645
20260907,P2G-10,rel_delta,0.02398,-0.25304,0.9979,-0.00135,4e-05,0.00183,0.00162,-0.00214
20260908,P2G-10,rel_delta,0.02394,-0.25254,0.9977,-0.00136,-5e-05,0.00199,0.00163,-0.00221
20260909,P2G-10,rel_delta,0.02402,-0.25384,0.9979,-0.00134,3e-05,0.00183,0.0016,-0.00212
mean,P2G-10,rel_delta,0.02398,-0.25314,0.9978,-0.00135,1e-05,0.00188,0.00162,-0.00215
20260907,P2G-10,phi,0.07716,-1.57364,0.9895,-0.01277,0.00526,0.01387,0.00757,-0.01393
20260908,P2G-10,phi,0.07716,-1.57443,0.9889,-0.0129,0.00484,0.01466,0.00776,-0.01436
20260909,P2G-10,phi,0.07743,-1.57868,0.9896,-0.01277,0.00529,0.01393,0.00736,-0.01381
mean,P2G-10,phi,0.07725,-1.57558,0.9893,-0.01281,0.00513,0.01415,0.00756,-0.01403
20260907,P2G-30,rel_delta,0.03444,-0.37059,0.9991,-0.0005,-0.00092,0.00137,0.00204,-0.00198
20260908,P2G-30,rel_delta,0.03431,-0.36889,0.9991,-0.00057,-0.0009,0.00162,0.00175,-0.00189
20260909,P2G-30,rel_delta,0.03443,-0.37064,0.9991,-0.00056,-0.00081,0.00138,0.00194,-0.00194
mean,P2G-30,rel_delta,0.03439,-0.37004,0.9991,-0.00054,-0.00088,0.00145,0.00191,-0.00194
20260907,P2G-30,phi,0.07926,-1.62993,0.9949,-0.00779,0.00147,0.00987,0.007,-0.01055
20260908,P2G-30,phi,0.0789,-1.62551,0.9947,-0.00817,0.00164,0.01081,0.00615,-0.01042
20260909,P2G-30,phi,0.07932,-1.63234,0.9948,-0.00813,0.00189,0.01,0.00683,-0.01059
