seed,cond,vocab,log2V,fertility,m2a,m2b,split_rate,m3_nonascii,delta_fert,rel_delta,from_splits,from_fragmentation,phi,stem_single_token_rate
20260907,P0,16000,13.9658,2.0058,0.2692,0.2821,0.0,0.00862,,,,,,
20260907,P1,16000,13.9658,2.3396,0.9975,1.0,0.68867,0.0055,0.3337,0.16637,1.0983,-0.7645,-0.69608,0.8698
20260907,P2G-10,16000,13.9658,2.1673,0.7846,0.7882,0.32356,0.00724,0.1615,0.08052,0.3288,-0.1673,-0.50882,0.6651
20260907,P2G-30,16000,13.9658,2.2263,0.9482,0.9505,0.44778,0.00681,0.2205,0.10993,0.47,-0.2495,-0.53085,0.6928
20260907,P2G-100,16000,13.9658,2.2479,0.9957,0.9958,0.48916,0.0066,0.242,0.12065,0.524,-0.282,-0.53817,0.7041
20260907,P2R-10,16000,13.9658,2.164,0.791,0.7843,0.27935,0.00728,0.1582,0.07887,0.2865,-0.1283,-0.44782,0.7696
20260907,P2R-30,16000,13.9658,2.2409,0.9434,0.9342,0.41037,0.00678,0.2351,0.11721,0.4354,-0.2003,-0.46004,0.7851
20260907,P2R-100,16000,13.9658,2.2914,0.9815,0.9716,0.47667,0.00643,0.2855,0.14234,0.5234,-0.2378,-0.45434,0.7954
20260907,P0,32000,14.9658,1.8207,0.1728,0.1877,0.0,0.00522,,,,,,
20260907,P1,32000,14.9658,2.2378,0.9969,1.0,0.68867,0.00264,0.4171,0.22909,1.0983,-0.6812,-0.62023,0.9254
20260907,P2G-10,32000,14.9658,2.0136,0.7484,0.7534,0.32356,0.00418,0.1928,0.10589,0.3288,-0.136,-0.41363,0.7336
20260907,P2G-30,32000,14.9658,2.0828,0.9401,0.9431,0.44778,0.00377,0.2621,0.14396,0.47,-0.2079,-0.44234,0.7619
20260907,P2G-100,32000,14.9658,2.109,0.9944,0.9945,0.48916,0.00364,0.2883,0.15835,0.524,-0.2358,-0.45,0.7726
20260907,P2R-10,32000,14.9658,2.0074,0.7529,0.7419,0.27935,0.00425,0.1866,0.10249,0.2865,-0.0999,-0.34869,0.8399
