cond,k,variant,vocab,split_rate,delta_fert,from_splits,from_fragmentation,frag_share,stem_single_token_rate,stem_tokens_mean,n_split_eojeol,n_words
P1,0,-,32000,0.68867,0.4171,1.0983,-0.6812,-1.6332,0.9254,1.0915,793320,1151963
P2,10,G,32000,0.32356,0.1928,0.3288,-0.136,-0.705,0.7336,1.4265,372727,1151963
P2,30,G,32000,0.44778,0.2621,0.47,-0.2079,-0.7932,0.7619,1.3801,515821,1151963
P2,100,G,32000,0.48916,0.2883,0.524,-0.2358,-0.8179,0.7726,1.3628,563493,1151963
P2,10,R,32000,0.27935,0.1866,0.2865,-0.0999,-0.535,0.8399,1.2208,321806,1151963
P2,30,R,32000,0.41037,0.2744,0.4354,-0.161,-0.5869,0.8541,1.2033,472728,1151963
P2,100,R,32000,0.47667,0.3306,0.5234,-0.1927,-0.583,0.8623,1.1965,549106,1151963
P1,0,-,64000,0.68867,0.4969,1.0983,-0.6014,-1.2103,0.9587,1.0493,793320,1151963
P2,10,G,64000,0.32356,0.221,0.3288,-0.1078,-0.488,0.7883,1.3335,372727,1151963
P2,30,G,64000,0.44778,0.3033,0.47,-0.1667,-0.5498,0.814,1.294,515821,1151963
P2,100,G,64000,0.48916,0.3334,0.524,-0.1906,-0.5717,0.8232,1.2796,563493,1151963
P2,10,R,64000,0.27935,0.2108,0.2865,-0.0757,-0.3589,0.8928,1.1518,321806,1151963
P2,30,R,64000,0.41037,0.311,0.4354,-0.1244,-0.3999,0.9053,1.1378,472728,1151963
P2,100,R,64000,0.47667,0.3728,0.5234,-0.1505,-0.4038,0.9101,1.1349,549106,1151963
P1,0,-,128000,0.68867,0.5686,1.0983,-0.5297,-0.9316,0.9782,1.0256,793320,1151963
P2,10,G,128000,0.32356,0.2443,0.3288,-0.0845,-0.3459,0.8282,1.2679,372727,1151963
P2,30,G,128000,0.44778,0.3392,0.47,-0.1308,-0.3856,0.8503,1.2351,515821,1151963
P2,100,G,128000,0.48916,0.3738,0.524,-0.1502,-0.4018,0.8585,1.2234,563493,1151963
P2,10,R,128000,0.27935,0.2309,0.2865,-0.0556,-0.241,0.9298,1.1058,321806,1151963
P2,30,R,128000,0.41037,0.3425,0.4354,-0.0929,-0.2713,0.9388,1.0963,472728,1151963
P2,100,R,128000,0.47667,0.409,0.5234,-0.1144,-0.2797,0.9417,1.0955,549106,1151963
