cond,k,variant,vocab,eval_set,fertility,m2a,m2b,m3,n_words,n_tokens,split_rate,m3_nonascii
P0,0,-,32000,wiki_ood_10k,2.1662,0.2047,0.2455,0.11939,82964,179716,0.0,0.01584
P1,0,-,32000,wiki_ood_10k,2.4174,0.9989,1.0,0.10406,82964,200554,0.63377,0.00974
P2,10,G,32000,wiki_ood_10k,2.3125,0.765,0.7812,0.10887,82964,191856,0.30987,0.01355
P2,30,G,32000,wiki_ood_10k,2.3463,0.9638,0.9676,0.1061,82964,194662,0.39316,0.01269
P2,100,G,32000,wiki_ood_10k,2.3567,0.997,0.9974,0.1051,82964,195520,0.41047,0.01245
P2,10,R,32000,wiki_ood_10k,2.2866,0.7716,0.7628,0.11034,82964,189706,0.22129,0.01382
P2,30,R,32000,wiki_ood_10k,2.3387,0.9477,0.9276,0.10653,82964,194032,0.31318,0.01275
P2,100,R,32000,wiki_ood_10k,2.371,0.9755,0.9553,0.10454,82964,196711,0.3611,0.01238
P0,0,-,64000,wiki_ood_10k,1.9884,0.1324,0.1754,0.1149,82964,164969,0.0,0.01016
P1,0,-,64000,wiki_ood_10k,2.2971,0.9987,1.0,0.09861,82964,190575,0.63377,0.00559
P2,10,G,64000,wiki_ood_10k,2.1635,0.7425,0.7578,0.10335,82964,179496,0.30987,0.00864
P2,30,G,64000,wiki_ood_10k,2.2024,0.9607,0.9642,0.10037,82964,182718,0.39316,0.00809
P2,100,G,64000,wiki_ood_10k,2.2144,0.9961,0.9966,0.09938,82964,183714,0.41047,0.00787
P2,10,R,64000,wiki_ood_10k,2.1349,0.7321,0.7111,0.1049,82964,177117,0.22129,0.00875
P2,30,R,64000,wiki_ood_10k,2.1872,0.9299,0.8941,0.10152,82964,181460,0.31318,0.00833
P2,100,R,64000,wiki_ood_10k,2.223,0.96,0.9245,0.09944,82964,184433,0.3611,0.008
P0,0,-,128000,wiki_ood_10k,1.8503,0.0663,0.112,0.11322,82964,153511,0.0,0.00679
P1,0,-,128000,wiki_ood_10k,2.2146,0.9983,1.0,0.09591,82964,183731,0.63377,0.00316
P2,10,G,128000,wiki_ood_10k,2.0475,0.7064,0.7268,0.10112,82964,169865,0.30987,0.00555
P2,30,G,128000,wiki_ood_10k,2.0955,0.9561,0.96,0.09768,82964,173850,0.39316,0.00498
P2,100,G,128000,wiki_ood_10k,2.1131,0.9956,0.9961,0.09655,82964,175309,0.41047,0.0047
P2,10,R,128000,wiki_ood_10k,2.0141,0.6903,0.666,0.10306,82964,167095,0.22129,0.00585
P2,30,R,128000,wiki_ood_10k,2.0821,0.92,0.8721,0.09874,82964,172737,0.31318,0.00509
P2,100,R,128000,wiki_ood_10k,2.12,0.9532,0.9054,0.09654,82964,175883,0.3611,0.00492
