cond,vocab,metric,point,ci_lo,ci_hi,boot_sd,B,n_docs
P0,128000,fertility,1.57183,1.5588,1.58467,0.00662,4000,2495
P0,128000,m2a,0.06534,0.06312,0.06758,0.00115,4000,2495
P0,128000,m2b,0.08116,0.07876,0.08356,0.00122,4000,2495
P1,128000,fertility,2.14041,2.128,2.15244,0.00619,4000,2495
P1,128000,m2a,0.99652,0.99622,0.99679,0.00015,4000,2495
P1,128000,m2b,1.0,1.0,1.0,0.0,4000,2495
P2G-10,128000,fertility,1.81613,1.80388,1.82806,0.00616,4000,2495
P2G-10,128000,m2a,0.69429,0.69118,0.6974,0.00157,4000,2495
P2G-10,128000,m2b,0.70179,0.699,0.70454,0.0014,4000,2495
P2G-30,128000,fertility,1.91103,1.89908,1.92284,0.00605,4000,2495
P2G-30,128000,m2a,0.92434,0.92202,0.92661,0.00117,4000,2495
P2G-30,128000,m2b,0.92879,0.92656,0.93093,0.00111,4000,2495
P2G-100,128000,fertility,1.94566,1.93349,1.95798,0.00623,4000,2495
P2G-100,128000,m2a,0.99038,0.98982,0.99094,0.00029,4000,2495
P2G-100,128000,m2b,0.99091,0.99039,0.99141,0.00026,4000,2495
P2R-10,128000,fertility,1.80269,1.79105,1.81407,0.00578,4000,2495
P2R-10,128000,m2a,0.69313,0.68936,0.69675,0.00187,4000,2495
P2R-10,128000,m2b,0.67349,0.6697,0.67712,0.00189,4000,2495
P2R-30,128000,fertility,1.91433,1.903,1.92534,0.00567,4000,2495
P2R-30,128000,m2a,0.91098,0.907,0.9143,0.00184,4000,2495
P2R-30,128000,m2b,0.88169,0.8777,0.88541,0.00199,4000,2495
P2R-100,128000,fertility,1.9808,1.96934,1.99192,0.00574,4000,2495
P2R-100,128000,m2a,0.96612,0.96339,0.96836,0.00127,4000,2495
P2R-100,128000,m2b,0.93429,0.93117,0.93727,0.00158,4000,2495
