cond,n_seeds,vocab,fertility_max,fertility_mean,fertility_min,m2a_max,m2a_mean,m2a_min,m2b_max,m2b_mean,m2b_min,phi_max,phi_mean,phi_min,relerr_c_max,relerr_c_mean,relerr_c_min
P0,3,32000,1.8212,1.82103,1.8207,0.1732,0.17293,0.1728,0.188,0.18773,0.1875,,,,,,
P1,3,32000,2.2381,2.2379,2.2378,0.997,0.99697,0.9969,1.0,1.0,1.0,-0.62023,-0.62044,-0.62069,,,
P2G-10,3,32000,2.0137,2.01367,2.0136,0.7485,0.7481,0.7474,0.7535,0.75317,0.7526,-0.41363,-0.41433,-0.41484,0.0443,0.04397,0.0434
P2G-30,3,32000,2.0831,2.08297,2.0828,0.9401,0.93723,0.9358,0.9431,0.9407,0.9395,-0.44234,-0.44292,-0.44331,0.0588,0.05817,0.0575
P2G-100,3,32000,2.1093,2.10917,2.109,0.9944,0.9943,0.9941,0.9946,0.99447,0.9943,-0.45,-0.45029,-0.45057,0.0633,0.06267,0.062
P2R-10,3,32000,2.0076,2.00753,2.0074,0.7529,0.75253,0.752,0.7421,0.7418,0.7414,-0.34869,-0.34958,-0.35019,0.0372,0.03693,0.0365
P2R-30,3,32000,2.0951,2.09463,2.0943,0.9333,0.932,0.9303,0.9179,0.91673,0.9155,-0.36977,-0.37108,-0.37175,0.0495,0.0488,0.0482
P2R-100,3,32000,2.1513,2.15063,2.1499,0.9792,0.9773,0.9762,0.9619,0.96037,0.9595,-0.36817,-0.36908,-0.36982,0.0529,0.0524,0.0519
P0,3,64000,1.679,1.6788,1.6786,0.1083,0.10797,0.1076,0.1245,0.12403,0.1237,,,,,,
P1,3,64000,2.1761,2.17587,2.1755,0.9967,0.9967,0.9967,1.0,1.0,1.0,-0.54721,-0.54739,-0.54757,,,
P2G-10,3,64000,1.9,1.89973,1.8996,0.7174,0.71713,0.7168,0.7237,0.72357,0.7233,-0.32786,-0.32806,-0.32847,0.0405,0.04017,0.0398
P2G-30,3,64000,1.9822,1.9819,1.9816,0.9317,0.92873,0.9272,0.9356,0.933,0.9317,-0.35468,-0.3552,-0.35588,0.0545,0.05383,0.0533
P2G-100,3,64000,2.0129,2.01247,2.0121,0.9924,0.99227,0.992,0.9927,0.9926,0.9924,-0.36291,-0.36334,-0.36374,0.0588,0.0582,0.0578
P2R-10,3,64000,1.8905,1.89003,1.8895,0.7191,0.71897,0.7188,0.7036,0.70347,0.7034,-0.2623,-0.26317,-0.26422,0.0339,0.0337,0.0336
P2R-30,3,64000,1.9897,1.98923,1.9889,0.922,0.9206,0.919,0.8992,0.89813,0.8969,-0.28571,-0.28649,-0.28713,0.046,0.0453,0.0448
P2R-100,3,64000,2.0515,2.05073,2.0501,0.9734,0.9717,0.9708,0.9483,0.94697,0.9463,-0.28754,-0.28799,-0.28834,0.0491,0.04857,0.0481
P0,3,128000,1.5728,1.5723,1.5718,0.0661,0.06583,0.0653,0.0819,0.08163,0.0812,,,,,,
P1,3,128000,2.1404,2.1403,2.1402,0.9965,0.9965,0.9965,1.0,1.0,1.0,-0.48229,-0.48284,-0.48329,,,
P2G-10,3,128000,1.817,1.8165,1.8161,0.6944,0.69427,0.6941,0.7019,0.7018,0.7017,-0.257,-0.2574,-0.2576,0.035,0.0346,0.0341
P2G-30,3,128000,1.911,1.91097,1.9109,0.9243,0.92157,0.9202,0.9288,0.9265,0.9253,-0.2783,-0.27961,-0.28079,0.047,0.04633,0.0455
P2G-100,3,128000,1.946,1.9459,1.9457,0.9905,0.99033,0.9901,0.991,0.99087,0.9907,-0.28664,-0.2872,-0.28792,0.0509,0.05023,0.0495
P2R-10,3,128000,1.8038,1.80323,1.8027,0.6936,0.6934,0.6931,0.6739,0.6737,0.6735,-0.19407,-0.19444,-0.19463,0.0295,0.02913,0.0288
P2R-30,3,128000,1.9143,1.91367,1.9133,0.9125,0.91103,0.9096,0.883,0.8818,0.8807,-0.21337,-0.21531,-0.2167,0.0399,0.03917,0.0384
P2R-100,3,128000,1.9808,1.97997,1.9792,0.9691,0.9671,0.9661,0.9367,0.9351,0.9343,-0.21857,-0.21973,-0.22105,0.0426,0.042,0.0413
