cond,k,variant,vocab,eval_set,fertility,m2a,m2b,m3,n_words,n_tokens,split_rate,m3_nonascii
P0,0,-,32000,hplt_heldout_100k,1.8212,0.1728,0.1875,0.10591,1151963,2098011,0.0,0.00506
P1,0,-,32000,hplt_heldout_100k,2.2378,0.997,1.0,0.08688,1151963,2577847,0.68867,0.00249
P2,10,G,32000,hplt_heldout_100k,2.0137,0.7485,0.7535,0.09456,1151963,2319666,0.32356,0.00404
P2,30,G,32000,hplt_heldout_100k,2.0831,0.9358,0.9395,0.09058,1151963,2399620,0.44803,0.00361
P2,100,G,32000,hplt_heldout_100k,2.1093,0.9944,0.9946,0.08922,1151963,2429845,0.48918,0.00347
P2,10,R,32000,hplt_heldout_100k,2.0076,0.7527,0.7421,0.09479,1151963,2312719,0.27951,0.00409
P2,30,R,32000,hplt_heldout_100k,2.0943,0.9333,0.9179,0.09018,1151963,2412577,0.40959,0.00369
P2,100,R,32000,hplt_heldout_100k,2.1499,0.9792,0.9619,0.08752,1151963,2476644,0.4759,0.00345
P0,0,-,64000,hplt_heldout_100k,1.679,0.108,0.1239,0.1075,1151963,1934138,0.0,0.0028
P1,0,-,64000,hplt_heldout_100k,2.1761,0.9967,1.0,0.08481,1151963,2506764,0.68867,0.00114
P2,10,G,64000,hplt_heldout_100k,1.9,0.7172,0.7237,0.09394,1151963,2188730,0.32356,0.00213
P2,30,G,64000,hplt_heldout_100k,1.9822,0.9273,0.9317,0.08944,1151963,2283419,0.44803,0.00183
P2,100,G,64000,hplt_heldout_100k,2.0129,0.9924,0.9927,0.08793,1151963,2318738,0.48918,0.00175
P2,10,R,64000,hplt_heldout_100k,1.8905,0.7188,0.7034,0.09433,1151963,2177803,0.27951,0.00217
P2,30,R,64000,hplt_heldout_100k,1.9891,0.922,0.8992,0.08918,1151963,2291372,0.40959,0.0019
P2,100,R,64000,hplt_heldout_100k,2.0501,0.9734,0.9483,0.08628,1151963,2361691,0.4759,0.00176
P0,0,-,128000,hplt_heldout_100k,1.5728,0.0661,0.0818,0.10994,1151963,1811852,0.0,0.00153
P1,0,-,128000,hplt_heldout_100k,2.1403,0.9965,1.0,0.08389,1151963,2465550,0.68867,0.00052
P2,10,G,128000,hplt_heldout_100k,1.817,0.6944,0.7019,0.09464,1151963,2093073,0.32356,0.00114
P2,30,G,128000,hplt_heldout_100k,1.911,0.9202,0.9253,0.08952,1151963,2201396,0.44803,0.00098
P2,100,G,128000,hplt_heldout_100k,1.946,0.9905,0.991,0.08782,1151963,2241731,0.48918,0.00092
P2,10,R,128000,hplt_heldout_100k,1.8038,0.6935,0.6737,0.09525,1151963,2077870,0.27951,0.00118
P2,30,R,128000,hplt_heldout_100k,1.9133,0.9125,0.883,0.08944,1151963,2204023,0.40959,0.00101
P2,100,R,128000,hplt_heldout_100k,1.9792,0.9691,0.9367,0.08626,1151963,2279945,0.4759,0.00094
