rank,surface,count,share,cum_share,tags
1,는,615332,0.09947727435126504,0.09947727435126504,ETM:342156|JX:273176
2,을,565030,0.09134523204821997,0.190822506399485,JKO:526061|ETM:38967|JX:2
3,의,454012,0.07339757445211129,0.2642200808515963,JKG:453853|JKB:130|EC:29
4,에,412009,0.06660718494762236,0.3308272657992186,JKB:411957|EC:23|JKG:23|EF:6
5,이,337648,0.054585659010348786,0.3854129248095674,JKS:327877|JKC:9750|EC:8|EP:5|ETN:4|EF:3|JX:1
6,를,334467,0.05407140457581365,0.43948432938538107,JKO:334404|JX:53|EC+JKO:8|EF:2
7,은,325219,0.05257633226818054,0.4920606616535616,JX:228683|ETM:96536
8,다,281675,0.04553681793388379,0.5375974795874454,EF:252036|EC:29102|JX:537
9,고,270984,0.043808463906969256,0.5814059434944147,EC:263765|JKQ:7211|JC:8
10,가,224645,0.03631709759388417,0.6177230410882988,JKS:219521|JKC:4823|JX:286|EC:9|EF:6
11,으로,169638,0.027424424321179298,0.6451474654094781,JKB:169629|ETN+JKB:7|EC:2
12,에서,158632,0.02564514601042994,0.6707926114199081,JKB:158632
13,로,132255,0.021380924312934414,0.6921735357328425,JKB:132213|EC:41|EF:1
14,습니다,130492,0.02109590998785254,0.7132694457206951,EF:129985|EC:507
15,도,123846,0.020021488431134365,0.7332909341518293,JX:123411|EC:435
16,과,117926,0.01906443522382597,0.7523553693756554,JC:89766|JKB:28150|ETN+JKB:10
17,기,98895,0.015987800158237107,0.7683431695338925,ETN:98895
18,게,90453,0.014623029351463887,0.7829661988853563,EC:90377|JKB:68|EF:8
19,와,83022,0.013421701246141475,0.7963879001314979,JC:62596|JKB:20411|EC:15
20,지,74630,0.012065013659024576,0.8084529137905224,EC:72861|EF:1768|JX:1
21,었,68641,0.011096805608590457,0.8195497193991128,EP:68641
22,어,67518,0.01091525649510949,0.8304649758942223,EC:64453|EF:3056|EP:9
23,면,56145,0.009076647352082738,0.8395416232463051,EC:56143|JX:2
24,며,46628,0.0075380873226986184,0.8470797105690037,EC:46617|JC:11
25,여,42454,0.00686330014578895,0.8539430107147926,EC:42252|EF:105|JKV:90|JKS+EF:7
26,에게,35210,0.005692203281981178,0.8596352139967738,JKB:35210
27,만,32494,0.005253122790249826,0.8648883367870237,JX:32461|EP+EC:31|EF:2
28,까지,31000,0.005011596186918958,0.8698999329739426,JX:31000
29,지만,30121,0.004869493185360837,0.8747694261593034,EC:30121
30,던,29631,0.004790277632728892,0.8795597037920323,ETM:29631
31,아,29021,0.004691662352921777,0.8842513661449541,EC:28072|JKV:497|EF:452
32,았,25792,0.004169648027516573,0.8884210141724707,EP:25792
33,시,23310,0.0037683970037768037,0.8921894111762475,EP:23310
34,겠,23098,0.003734124152434003,0.8959235353286815,EP:23092|EC:4|EF:2
35,다고,22175,0.0035849079175783193,0.8995084432462598,EC:21846|EF:329
36,면서,22044,0.0035637298820787584,0.9030721731283385,EC:22044
37,는데,21378,0.003456061396256564,0.9065282345245952,EC:20581|EF:797
38,다는,20473,0.0033097551204771558,0.9098379896450723,ETM:20464|EC:9
39,부터,19359,0.003129660986534326,0.9129676506316066,JX:19359
40,나,17324,0.002800673946522065,0.9157683245781287,JC:9785|JX:4451|EC:1837|EF:1251
41,도록,17232,0.002785800822354435,0.9185541254004831,EC:17177|EF:55
42,라,17171,0.0027759392943737236,0.9213300646948568,EC:15961|EF:1209|JKQ:1
43,라고,16013,0.0025887319271333314,0.9239187966219902,EC:12698|JKQ:3158|EF:157
44,거나,15907,0.0025715955014619313,0.9264903921234521,EC:15856|JX:37|EF:9|JKB:4|JC:1
45,으며,15169,0.0024522871793346344,0.9289426793027867,EC:15150|EF:19
46,이나,15136,0.002446952254361463,0.9313896315571482,JC:13600|JX:1531|EC:5
47,보다,14523,0.0023478519813749685,0.9337374835385231,JKB:14523
48,세요,11789,0.0019058615305673418,0.9356433450690905,EP+EF:11788|EP+EC:1
49,서,11393,0.0018418424308892802,0.9374851874999798,EC:5737|JKB:5530|JKS:126
50,라는,10884,0.0017595552547879335,0.9392447427547678,ETM:10883|JX:1
51,였,10280,0.001661909961339577,0.9409066527161073,EP:10275|EC:5
52,어요,10061,0.0016265054592448916,0.9425331581753522,EF:10059|EC:2
53,니,9922,0.0016040341086003193,0.9441371922839525,EC:9428|EF:395|JC:99
54,음,9591,0.001550523194475475,0.945687715478428,ETN:9526|EC:65
55,는지,9306,0.0015044488424344458,0.9471921643208624,EC:9081|EF:225
56,처럼,9294,0.001502508869716929,0.9486946731905793,JKB:9294
57,자,9277,0.0014997605750337799,0.9501944337656132,EC:6413|EF:2864
58,죠,8621,0.0013937087331428496,0.951588142498756,EF:8607|EC:14
59,다면,8602,0.0013906371096734475,0.9529787796084295,EC:8302|EF:300
60,어서,8340,0.0013482810386743261,0.9543270606471038,EC:8340
61,으면,8274,0.0013376111887279825,0.9556646718358317,EC:8255|EF:19
62,신,6330,0.0010233356084902259,0.9566880074443219,EP+ETM:6329|EC:1
63,어야,6197,0.0010018342442044124,0.9576898416885263,EC:6189|EF:8
64,는다,5954,0.0009625497966746927,0.9586523914852011,EF:5213|EC:737|ETM:4
65,십시오,5936,0.0009596398375984173,0.9596120313227995,EP+EF:5538|EP+EC:393|EF:5
66,네요,5520,0.0008923874500578274,0.9605044187728573,EF:4719|EC:801
67,실,5492,0.0008878608470502876,0.9613922796199076,EP+ETM:5464|EC:28
68,다가,4780,0.0007727557991442781,0.9621650354190519,EC:4569|JX:207|JKB+JX+JKS:2|JKB:2
69,셨,4771,0.0007713008196061403,0.962936336238658,EP+EP:4771
70,로부터,4766,0.0007704924976405081,0.9637068287362985,JKB:4760|JX:6
71,는데요,4614,0.0007459195098852927,0.9644527482461839,EF:4335|EC:279
72,야,4360,0.0007048567540311825,0.965157605000215,EC:2821|JX:681|EF:637|JKV:220|JKS+EC:1
73,고자,4294,0.0006941869040848389,0.9658517919042998,EC:4291|EF:3
74,로서,4189,0.000677212142806565,0.9665290040471064,JKB:4189
75,마다,4083,0.0006600757171351647,0.9671890797642416,JX:4083
76,아서,3884,0.0006279045029030075,0.9678169842671446,EC:3884
77,엔,3735,0.0006038165083271712,0.9684208007754718,JKB+JX:3724|JKB+ETM:11
78,려면,3722,0.0006017148712165278,0.9690225156466883,EC:3591|EF:131
79,께서,3531,0.000570836972129382,0.9695933526188176,JKS:3523|JKB:8
80,란,3388,0.0005477189639123041,0.97014107158273,ETM:2282|JX:1033|EF:36|ETN:30|EC:7
81,므로,3355,0.0005423840389391324,0.9706834556216691,EC:3345|EF:10
82,아야,3317,0.0005362407920003285,0.9712196964136695,EC:3314|EF:3
83,아요,3311,0.00053527080564157,0.971754967219311,EF:2971|EC:340
84,으로써,3295,0.0005326841753515473,0.9722876513946626,JKB:3294|EC:1
