cond,k,variant,vocab,split_rate,delta_fert,from_splits,from_fragmentation,frag_share,stem_single_token_rate,stem_tokens_mean,n_split_eojeol,n_words
P1,0,-,32000,0.68867,0.4168,1.0983,-0.6814,-1.6348,0.9253,1.0914,793320,1151963
P2,10,G,32000,0.32356,0.1925,0.3288,-0.1363,-0.7083,0.7331,1.4268,372727,1151963
P2,30,G,32000,0.44803,0.2618,0.4701,-0.2084,-0.7961,0.7605,1.3819,516117,1151963
P2,100,G,32000,0.4891,0.288,0.524,-0.2361,-0.8197,0.7728,1.3627,563422,1151963
P2,10,R,32000,0.27958,0.1863,0.2867,-0.1004,-0.5388,0.8395,1.2206,322061,1151963
P2,30,R,32000,0.40999,0.2733,0.435,-0.1617,-0.5918,0.8536,1.2038,472293,1151963
P2,100,R,32000,0.47652,0.3294,0.5224,-0.1929,-0.5857,0.862,1.1968,548929,1151963
P1,0,-,64000,0.68867,0.4972,1.0983,-0.601,-1.2087,0.9589,1.0491,793320,1151963
P2,10,G,64000,0.32356,0.2208,0.3288,-0.108,-0.489,0.7879,1.3338,372727,1151963
P2,30,G,64000,0.44803,0.3028,0.4701,-0.1673,-0.5526,0.813,1.2948,516117,1151963
P2,100,G,64000,0.4891,0.3336,0.524,-0.1904,-0.5708,0.8233,1.2793,563422,1151963
P2,10,R,64000,0.27958,0.2113,0.2867,-0.0754,-0.357,0.8925,1.1517,322061,1151963
P2,30,R,64000,0.40999,0.3101,0.435,-0.1249,-0.4027,0.9048,1.1382,472293,1151963
P2,100,R,64000,0.47652,0.3719,0.5224,-0.1505,-0.4047,0.91,1.135,548929,1151963
P1,0,-,128000,0.68867,0.5679,1.0983,-0.5304,-0.9339,0.9782,1.0255,793320,1151963
P2,10,G,128000,0.32356,0.2442,0.3288,-0.0847,-0.3467,0.8285,1.2679,372727,1151963
P2,30,G,128000,0.44803,0.3386,0.4701,-0.1315,-0.3883,0.8498,1.236,516117,1151963
P2,100,G,128000,0.4891,0.3737,0.524,-0.1504,-0.4024,0.8585,1.2235,563422,1151963
P2,10,R,128000,0.27958,0.231,0.2867,-0.0558,-0.2414,0.9302,1.1054,322061,1151963
P2,30,R,128000,0.40999,0.3411,0.435,-0.0939,-0.2753,0.9389,1.0963,472293,1151963
P2,100,R,128000,0.47652,0.4076,0.5224,-0.1147,-0.2815,0.9417,1.0956,548929,1151963
